customer_id,household_id,age,gender,region,income_band,signup_channel,signup_date,membership_tier,account_status_code,support_case_count_90d,days_since_last_login,preferred_device,marketing_segment,record_version
68,595,64,M,East,Low,Referral,2025-04-08,SILVER,H,1,46,mobile,Budget,3
69,885,26,F,East,Low,Referral,2025-03-20,gold,A,2,61,mobile,Budget,1
70,680,64,F,south,Mid,Partner,2025-01-13,silver,H,2,84,desktop,Standard,3
71,191,44,F,E.,Low,Web,2025-02-04,Gold,A,2,29,desktop,Budget,2
72,34,26,M,NORTH,Low,Store,2025-01-19,Gold,H,1,1,Tablet,Family,2
73,571,72,F,W.,Mid,Web,2025-03-17,gold,A,2,72,Mobile,Family,2
74,499,48,M,West,Mid,Web,2025-09-11,gold,A,4,120,Mobile,Standard,1
75,830,56,M,West,High,Web,2025-10-10,Premium-Gold,A,2,104,Mobile,Premium,3
76,519,23,F,WEST,Mid,Store,2025-12-22,Silver ,A,0,1,Mobile,Family,2
77,452,39,M,N.,Mid,Web,2025-07-18,Silver,A,3,72,mobile,Standard,1
78,274,54,F,SOUTH,Mid,Web,2025-06-15,gold,H,1,64,MOBILE,Standard,3
79,78,55,F,W.,Mid,Web,2025-11-25,Platinum,R,1,51,Mobile,Premium,1
80,789,21,M,South,Mid,Referral,2025-02-23,Silver,R,0,80,MOBILE,Family,2
81,744,53,F,N.,Mid,Store,2025-08-19,platinum,A,0,51,mobile,Premium,2
82,147,72,M,N.,High,Web,2025-10-26,Plat,A,1,110,phone,Budget,1
83,634,63,M,EAST,Mid,Web,2025-07-03,Silver,A,2,109,DESKTOP,Premium,1
84,328,30,F,east,Low,Store,2025-04-06,Gold ,A,3,77,Mobile,Budget,1
85,394,70,F,SOUTH,Mid,Web,2025-08-15,gold,A,1,55,Desktop,Budget,3
86,764,57,F,NORTH,High,Store,2025-12-30,SILVER,A,1,72,Mobile,Standard,2
87,758,21,M,Western,Low,Partner,2025-03-28,Silver ,A,1,108,phone,Premium,3
88,172,25,M,South,Mid,Referral,2025-07-25,Silver ,A,2,36,TABLET,Budget,1
89,277,71,F,WEST,High,Web,2025-01-19,Premium-Gold,A,0,105,Tablet,Standard,1
90,740,30,M,SOUTH,Mid,Store,2025-03-26,silver,A,1,71,MOBILE,Premium,1
91,826,23,M,west,High,Web,2025-10-07,Gold,A,1,7,mobile,Budget,1
92,72,44,M,S.,Mid,Referral,2025-07-01,Premium-Gold,A,1,90,TABLET,Family,2
93,751,48,F,East,Mid,Referral,2025-03-14,Premium-Gold,R,4,24,MOBILE,Standard,1
94,441,51,F,East,Mid,Store,2025-05-03,Silver ,A,1,62,Mobile,Standard,2
95,532,56,F,N.,High,Partner,2025-02-14,silver,R,0,114,MOBILE,Budget,3
96,68,75,F,East,Mid,Web,2025-10-12,silver,H,0,94,mobile,Family,1
97,613,62,F,south,Mid,Referral,2025-12-11,Silver,A,1,84,Desktop,Family,1
98,611,19,F,north,Mid,Store,2025-02-08,silver,A,2,8,DESKTOP,Budget,3
99,597,23,F,E.,Mid,Web,2025-03-28,silver,A,1,103,phone,Premium,2
100,712,18,F,East,Mid,Partner,2025-11-09,silver,A,1,40,mobile,Premium,1
101,852,40,F,south,Mid,Partner,2025-11-17,Premium-Gold,A,4,6,MOBILE,Budget,3
102,765,38,M,N.,High,Referral,2025-10-08,SILVER,A,2,116,DESKTOP,Standard,1
103,671,72,M,south,Mid,Store,2025-09-18,Silver,H,2,23,Tablet,Family,2
104,884,39,F,EAST,Mid,Store,2025-11-11,PLATINUM,A,5,39,Mobile,Standard,1
105,608,19,F,S.,Mid,Store,2025-05-17,Gold ,A,1,17,DESKTOP,Family,3
106,605,69,F,W.,Mid,Web,2025-11-23,PLATINUM,R,2,75,Mobile,Budget,1
107,488,33,M,N.,Mid,Partner,2025-11-20,Premium-Gold,R,1,105,DESKTOP,Family,2
108,693,70,M,Western,Low,Web,2025-03-25,Silver ,A,2,62,phone,Family,2
109,65,62,F,E.,Low,Referral,2025-01-27,platinum,A,1,105,phone,Budget,2
110,456,69,M,S.,Mid,Partner,2025-07-10,GOLD,R,0,113,Mobile,Standard,1
111,383,65,M,SOUTH,Mid,Partner,2025-10-04,gold,A,3,105,TABLET,Standard,1
112,822,26,M,Western,Mid,Web,2025-11-07,Gold ,H,0,19,mobile,Family,3
113,66,54,F,SOUTH,Low,Web,2025-02-21,Silver ,A,1,24,phone,Budget,2
114,580,41,F,east,Mid,Store,2025-05-18,SILVER,A,1,36,TABLET,Standard,3
115,166,54,M,EAST,Low,Web,2025-10-08,gold,A,1,77,DESKTOP,Premium,2
116,796,61,F,east,Mid,Web,2025-01-23,SILVER,A,0,104,mobile,Standard,1
117,767,47,M,west,High,Referral,2025-09-21,Silver ,A,2,37,Mobile,Standard,2
118,212,36,M,east,Low,Partner,2025-04-17,Silver,A,3,80,tablet,Standard,3
119,785,71,F,WEST,Mid,Partner,2025-01-09,SILVER,A,1,22,phone,Family,1
120,448,56,F,east,Low,Partner,2025-03-30,SILVER,A,1,65,MOBILE,Budget,2
121,874,69,F,NORTH,Low,Referral,2025-09-28,SILVER,A,0,94,MOBILE,Family,3
122,657,31,F,south,Low,Web,2025-11-14,PLATINUM,A,0,47,Mobile,Standard,3
123,32,66,M,north,Low,Referral,2025-01-30,Silver ,A,0,19,desktop,Family,2
124,183,36,M,East,Mid,Referral,2025-06-19,Silver,A,0,49,Desktop,Budget,1
125,364,44,F,south,High,Store,2025-03-15,SILVER,A,1,92,MOBILE,Premium,2
126,191,67,M,east,Low,Partner,2025-09-07,Gold ,A,2,113,Tablet,Family,2
127,120,38,F,N.,Mid,Referral,2025-10-12,Premium-Gold,A,0,74,Desktop,Premium,3
128,881,32,M,north,Mid,Partner,2025-12-18,GOLD,A,2,81,Desktop,Budget,1
129,783,71,F,West,High,Partner,2025-05-10,Plat,A,0,50,MOBILE,Standard,2
130,392,73,M,east,Mid,Store,2025-04-20,platinum,H,2,112,Mobile,Budget,1
131,194,36,M,SOUTH,Low,Web,2025-04-24,GOLD,R,3,105,phone,Budget,3
132,164,35,F,South,Mid,Web,2025-10-05,Premium-Gold,A,1,117,DESKTOP,Premium,3
133,825,31,M,North,Mid,Partner,2025-06-12,silver,A,1,104,Mobile,Family,3
134,299,19,M,south,High,Web,2025-01-09,gold,A,4,66,mobile,Standard,1
135,12,50,F,south,Mid,Partner,2025-12-12,SILVER,A,0,116,MOBILE,Budget,3
136,358,32,M,EAST,Mid,Store,2025-02-08,Gold ,A,1,73,phone,Budget,2
137,409,67,M,North,Low,Referral,2025-12-05,Silver ,A,0,72,MOBILE,Standard,2
138,561,27,M,W.,Mid,Web,2025-03-01,SILVER,R,2,79,Mobile,Budget,1
139,305,54,F,west,High,Store,2025-07-16,Silver,R,3,22,MOBILE,Family,2
140,831,47,M,E.,Mid,Partner,2025-04-25,Gold,A,2,101,Tablet,Budget,3
141,580,53,M,SOUTH,Mid,Web,2025-09-08,Premium-Gold,A,3,43,DESKTOP,Budget,1
142,888,24,M,North,High,Web,2025-05-28,silver,A,2,79,MOBILE,Premium,2
143,331,45,F,EAST,High,Web,2025-05-15,Silver,A,0,102,MOBILE,Budget,1
144,587,54,F,West,Mid,Web,2025-06-24,Silver,A,1,13,Mobile,Standard,1
145,329,37,M,W.,Mid,Web,2025-12-21,Gold,A,2,36,mobile,Standard,2
146,630,68,F,north,Mid,Partner,2025-03-31,Silver,A,2,114,Desktop,Budget,2
147,672,48,F,south,Mid,Store,2025-03-22,Silver ,A,5,43,Mobile,Standard,1
148,290,39,F,West,Mid,Web,2025-01-25,Gold ,A,1,79,TABLET,Standard,1
149,844,19,M,west,Low,Web,2025-09-27,GOLD,A,1,67,mobile,Premium,3
150,772,27,F,north,High,Web,2025-09-05,Gold,A,1,105,TABLET,Budget,1
151,806,45,M,west,High,Store,2025-08-11,Gold ,A,2,61,DESKTOP,Standard,2
152,197,41,M,Western,High,Web,2025-01-09,Plat,A,0,51,Desktop,Premium,3
153,647,68,M,east,High,Store,2025-10-16,Silver ,A,0,1,TABLET,Budget,3
154,96,63,M,East,Mid,Web,2025-10-23,silver,A,0,57,MOBILE,Budget,3
155,95,27,F,WEST,Mid,Web,2025-12-11,PLATINUM,A,1,70,mobile,Standard,1
156,876,52,M,south,Mid,Referral,2025-12-06,silver,A,2,83,Mobile,Budget,3
157,138,44,F,WEST,Mid,Web,2025-04-07,Premium-Gold,A,2,94,DESKTOP,Budget,3
158,778,23,M,E.,Mid,Web,2025-09-17,Silver ,A,0,93,TABLET,Family,1
159,388,56,F,North,Low,Web,2025-05-27,Silver,H,1,55,mobile,Standard,3
160,274,49,M,SOUTH,Mid,Referral,2025-08-06,silver,R,4,9,desktop,Standard,1
161,67,23,M,West,Low,Store,2025-05-02,gold,A,2,30,phone,Budget,2
162,608,45,F,East,Low,Store,2025-08-28,Gold ,H,1,49,mobile,Budget,3
163,650,60,M,North,Mid,Referral,2025-12-14,silver,A,1,118,DESKTOP,Premium,2
164,421,36,F,West,Mid,Web,2025-08-27,SILVER,A,1,93,MOBILE,Premium,1
165,729,38,F,north,Low,Referral,2025-12-03,Silver ,A,0,108,phone,Family,1
166,291,24,F,Eastern,High,Web,2025-12-07,Silver ,A,0,120,desktop,Budget,3
167,497,29,F,Eastern,High,Store,2025-02-13,Silver,A,0,16,Mobile,Budget,1
168,259,74,M,West,Low,Partner,2025-12-18,Platinum,A,0,1,MOBILE,Premium,2
169,525,54,M,N.,Low,Partner,2025-10-26,Silver ,A,0,69,mobile,Standard,3
170,123,28,F,W.,Mid,Referral,2025-06-05,Silver,H,1,32,mobile,Budget,3
171,429,45,M,EAST,Mid,Web,2025-08-08,silver,A,2,105,Desktop,Standard,3
172,495,29,M,W.,High,Referral,2025-08-14,Silver ,H,1,56,tablet,Budget,2
173,501,43,M,north,Low,Partner,2025-10-15,silver,H,1,1,phone,Family,1
174,402,26,F,east,Mid,Store,2025-10-21,Gold,H,2,26,DESKTOP,Family,3
175,580,53,M,NORTH,Low,Referral,2025-02-07,Premium-Gold,A,1,41,DESKTOP,Standard,2
176,461,51,F,NORTH,Mid,Web,2025-01-01,Gold ,A,2,3,Desktop,Standard,2
177,255,54,M,W.,High,Referral,2025-03-31,silver,A,3,38,Desktop,Premium,3
178,194,43,M,South,Low,Store,2025-07-12,Gold ,R,2,65,phone,Standard,3
179,583,34,M,S.,Low,Store,2025-11-06,PLATINUM,A,2,108,desktop,Premium,2
180,845,32,F,west,Mid,Web,2025-08-27,GOLD,A,1,78,mobile,Standard,1
181,678,30,F,Eastern,Mid,Store,2025-02-19,Plat,A,2,11,MOBILE,Family,1
182,575,42,M,west,High,Store,2025-09-19,Silver ,A,2,50,mobile,Standard,2
183,830,44,F,East,High,Partner,2025-06-20,platinum,A,3,93,mobile,Standard,1
184,810,57,F,Western,Low,Web,2025-05-15,Premium-Gold,A,1,44,mobile,Premium,1
185,456,21,M,SOUTH,Low,Web,2025-10-09,Premium-Gold,A,4,68,tablet,Family,3
186,99,34,M,South,Mid,Referral,2025-04-18,Gold,A,1,119,Mobile,Family,1
187,571,67,F,West,Low,Web,2025-08-14,platinum,A,1,16,MOBILE,Standard,3
188,561,71,F,West,High,Store,2025-03-08,SILVER,A,3,57,tablet,Premium,2
189,250,71,M,East,Mid,Referral,2025-05-20,Premium-Gold,A,2,73,phone,Standard,3
190,765,35,F,Western,Low,Web,2025-07-23,Gold ,A,2,96,phone,Premium,1
191,783,25,F,East,High,Web,2025-08-16,GOLD,R,2,101,Tablet,Budget,2
192,298,29,F,South,Low,Store,2025-12-02,gold,A,0,34,tablet,Standard,3
193,430,25,F,S.,Mid,Web,2025-04-16,Silver,R,3,56,Desktop,Family,2
194,176,73,M,Eastern,Mid,Store,2025-11-24,Silver ,A,0,100,phone,Family,3
195,161,69,F,North,Mid,Store,2025-10-26,SILVER,A,1,101,mobile,Standard,3
196,239,65,F,NORTH,Mid,Store,2025-05-12,GOLD,A,1,99,Desktop,Budget,3
197,330,60,F,SOUTH,Mid,Partner,2025-02-21,Premium-Gold,A,2,80,Tablet,Standard,2
198,246,37,F,WEST,High,Store,2025-04-05,Gold,A,0,32,MOBILE,Budget,2
199,137,45,F,east,High,Store,2025-08-29,gold,A,1,44,TABLET,Budget,1
200,403,66,M,N.,Mid,Web,2025-10-15,Premium-Gold,A,1,79,desktop,Family,1
201,562,65,M,Eastern,Low,Store,2025-08-12,silver,A,0,30,mobile,Standard,1
202,294,48,F,NORTH,Mid,Referral,2025-09-22,Premium-Gold,A,1,82,mobile,Budget,1
203,481,66,F,Eastern,High,Store,2025-02-07,Plat,A,1,62,Mobile,Premium,3
204,245,38,F,North,Mid,Partner,2025-07-04,Gold,A,0,53,Tablet,Budget,1
205,634,41,F,SOUTH,Mid,Web,2025-11-15,platinum,A,2,43,phone,Standard,2
206,584,66,M,Eastern,Mid,Web,2025-05-22,Plat,A,3,93,Desktop,Budget,2
207,865,39,F,WEST,Low,Web,2025-11-25,silver,A,2,56,MOBILE,Budget,1
208,48,61,M,N.,Mid,Web,2025-02-15,gold,H,2,37,Desktop,Standard,3
209,768,44,M,east,Mid,Referral,2025-12-24,Gold,A,4,46,phone,Premium,3
210,307,35,F,N.,Mid,Web,2025-10-14,Silver,A,4,58,tablet,Standard,1
211,60,30,M,N.,High,Referral,2025-08-17,Silver,A,0,74,MOBILE,Family,1
212,621,53,F,W.,High,Web,2025-08-14,silver,A,1,119,desktop,Family,1
213,155,45,F,SOUTH,Mid,Web,2025-12-08,silver,A,3,41,desktop,Premium,1
214,159,39,M,WEST,Mid,Partner,2025-05-18,Premium-Gold,H,1,21,phone,Family,1
215,882,61,F,north,Mid,Web,2025-03-02,SILVER,A,2,118,tablet,Family,1
216,199,18,M,EAST,High,Referral,2025-12-02,Silver,A,1,17,Mobile,Family,2
217,493,23,M,Eastern,Mid,Referral,2025-02-07,Gold,H,4,109,Tablet,Standard,2
218,181,73,F,East,High,Referral,2025-08-29,Silver,A,0,17,mobile,Budget,1
219,112,56,M,South,Low,Web,2025-04-08,gold,A,2,44,DESKTOP,Premium,2
220,1,49,F,south,High,Referral,2025-12-06,SILVER,A,2,120,Tablet,Family,2
221,15,18,M,south,Low,Web,2025-12-22,Silver,A,3,20,Tablet,Family,1
222,427,52,F,E.,Low,Referral,2025-06-23,platinum,A,3,19,Mobile,Premium,1
223,391,43,F,west,Mid,Partner,2025-07-14,GOLD,A,1,73,phone,Family,3
224,36,52,F,SOUTH,Low,Web,2025-06-15,Gold,A,2,23,Desktop,Premium,1
225,315,20,M,North,Low,Web,2025-06-05,Gold,R,0,2,phone,Premium,1
226,246,49,F,east,Low,Web,2025-12-09,Silver,A,2,84,Tablet,Budget,3
227,515,51,M,SOUTH,Mid,Web,2025-04-15,Gold,A,0,116,phone,Standard,2
228,896,34,F,EAST,Mid,Referral,2025-12-17,Silver ,A,1,91,MOBILE,Budget,3
229,623,21,F,E.,Low,Referral,2025-08-26,Silver ,A,2,116,DESKTOP,Budget,1
230,827,74,F,SOUTH,Mid,Referral,2025-12-17,SILVER,A,2,63,MOBILE,Standard,1
231,174,59,F,west,High,Web,2025-08-12,Gold ,A,1,74,mobile,Budget,2
232,194,54,M,WEST,Low,Store,2025-10-26,Silver ,A,1,118,mobile,Family,1
233,676,62,F,N.,Low,Web,2025-06-28,Silver ,A,1,60,TABLET,Standard,2
234,280,56,M,S.,High,Store,2025-06-18,Silver,A,0,4,mobile,Premium,1
235,764,25,M,East,High,Web,2025-04-04,Premium-Gold,A,1,28,tablet,Budget,3
236,418,44,F,NORTH,Mid,Web,2025-03-18,silver,A,2,75,phone,Family,3
237,181,69,M,WEST,High,Store,2025-01-14,SILVER,A,1,103,Mobile,Standard,3
238,760,34,M,East,Low,Web,2025-05-20,Silver ,A,6,73,mobile,Standard,2
239,496,74,M,W.,Mid,Partner,2025-12-27,GOLD,A,0,49,mobile,Premium,2
240,723,21,M,West,Mid,Store,2025-12-09,silver,A,2,38,Mobile,Standard,2
241,408,37,M,east,Low,Web,2025-09-09,Platinum,A,3,82,phone,Standard,1
242,114,38,M,W.,Mid,Referral,2025-05-13,Silver,A,2,108,Mobile,Premium,2
243,613,53,F,N.,Mid,Partner,2025-07-09,Silver,R,2,33,DESKTOP,Premium,1
244,113,28,M,north,Mid,Referral,2025-10-04,silver,A,1,66,MOBILE,Standard,3
245,597,31,F,N.,Mid,Store,2025-01-01,Silver ,A,3,51,Mobile,Family,1
246,376,56,M,S.,Mid,Store,2025-12-03,silver,A,1,29,mobile,Standard,1
247,713,34,M,WEST,Low,Store,2025-11-14,SILVER,A,2,49,phone,Standard,3
248,784,68,M,West,Low,Referral,2025-12-21,Platinum,A,1,10,DESKTOP,Standard,1
249,367,68,M,W.,Mid,Store,2025-02-04,SILVER,H,1,64,desktop,Standard,2
250,794,35,M,North,Low,Web,2025-12-12,Silver ,A,1,12,desktop,Standard,2
251,100,50,M,Eastern,Low,Web,2025-08-12,silver,H,0,57,MOBILE,Family,1
252,97,37,F,west,Low,Store,2025-07-22,silver,A,2,108,phone,Standard,2
253,895,38,F,E.,Low,Web,2025-03-07,Silver ,A,0,17,DESKTOP,Family,3
254,517,56,F,W.,High,Web,2025-06-29,SILVER,H,2,30,tablet,Budget,1
255,406,35,F,south,Mid,Web,2025-05-13,silver,A,0,87,phone,Standard,2
256,141,26,M,N.,High,Store,2025-12-27,Silver,A,1,109,MOBILE,Budget,3
257,261,33,M,W.,Low,Web,2025-05-04,Plat,A,3,115,Desktop,Standard,1
258,618,71,F,N.,Mid,Store,2025-03-21,Gold ,H,0,14,Tablet,Standard,3
259,740,33,F,North,Mid,Referral,2025-12-12,Platinum,H,2,28,phone,Premium,3
260,825,39,M,WEST,Mid,Referral,2025-03-10,SILVER,A,1,119,phone,Premium,3
261,367,54,F,Western,High,Web,2025-11-27,Premium-Gold,A,3,61,DESKTOP,Budget,2
262,410,23,M,N.,High,Store,2025-12-18,Silver ,A,2,100,Desktop,Budget,3
263,147,33,M,EAST,High,Store,2025-04-23,Silver,A,1,1,Mobile,Standard,3
264,75,28,F,West,Low,Partner,2025-09-09,GOLD,A,1,14,phone,Budget,2
265,395,71,F,west,Low,Store,2025-10-18,Silver ,A,0,24,Mobile,Premium,1
266,522,72,F,NORTH,Mid,Web,2025-07-15,Silver ,A,0,10,DESKTOP,Standard,3
267,94,61,F,SOUTH,Low,Referral,2025-09-12,GOLD,A,1,107,Desktop,Family,1
268,368,32,F,S.,Mid,Web,2025-02-18,gold,A,1,97,MOBILE,Family,3
269,578,53,F,West,Mid,Referral,2025-07-08,Silver ,R,2,47,mobile,Standard,2
270,730,56,F,east,Mid,Store,2025-07-07,SILVER,A,1,9,desktop,Family,2
271,845,68,F,north,High,Web,2025-07-26,SILVER,A,1,12,MOBILE,Premium,3
272,307,27,F,S.,Mid,Referral,2025-12-11,Plat,A,0,31,Mobile,Budget,2
273,353,60,M,South,Low,Web,2025-10-29,silver,A,0,87,MOBILE,Family,3
274,788,29,F,South,Low,Referral,2025-08-09,SILVER,A,5,96,phone,Standard,3
275,624,50,M,east,Mid,Store,2025-05-28,Silver,A,0,65,desktop,Premium,1
276,247,68,F,North,Mid,Web,2025-05-28,PLATINUM,A,2,109,phone,Premium,3
277,617,21,F,SOUTH,Low,Web,2025-01-08,GOLD,A,0,112,desktop,Family,1
278,142,26,F,NORTH,Mid,Referral,2025-07-21,Silver ,A,2,92,desktop,Premium,3
279,405,65,M,NORTH,Mid,Web,2025-04-03,platinum,A,2,9,phone,Family,1
280,276,19,F,Western,High,Referral,2025-11-20,Silver ,A,3,107,tablet,Standard,1
281,894,57,F,north,Mid,Referral,2025-10-10,PLATINUM,H,1,109,MOBILE,Family,1
282,32,47,F,west,Mid,Store,2025-11-30,Silver,A,0,67,desktop,Premium,3
283,772,38,M,east,Low,Web,2025-12-30,Silver,A,0,72,mobile,Premium,2
284,254,68,F,S.,Mid,Store,2025-05-27,Silver,A,0,94,tablet,Family,2
285,33,67,F,SOUTH,Mid,Referral,2025-06-06,platinum,A,6,71,MOBILE,Budget,2
286,595,36,M,South,Mid,Web,2025-08-10,PLATINUM,A,0,41,Mobile,Standard,2
287,611,18,F,W.,Mid,Web,2025-06-07,Premium-Gold,A,0,84,mobile,Family,3
288,129,25,F,E.,Low,Web,2025-04-12,Silver ,A,1,95,phone,Family,3
289,35,24,M,west,Low,Partner,2025-09-16,SILVER,H,1,17,mobile,Premium,1
290,101,74,F,SOUTH,Low,Referral,2025-06-14,silver,A,3,82,mobile,Standard,2
291,368,52,F,NORTH,High,Partner,2025-12-10,SILVER,A,1,20,mobile,Budget,1
292,120,57,F,South,Mid,Store,2025-03-22,silver,A,2,69,phone,Standard,1
293,633,31,F,West,Low,Web,2025-06-11,gold,A,5,13,Desktop,Standard,1
294,70,67,M,NORTH,High,Web,2025-07-13,GOLD,A,0,120,phone,Family,3
295,711,59,M,SOUTH,Mid,Web,2025-11-28,Plat,A,5,80,phone,Standard,3
296,788,61,M,E.,Mid,Referral,2025-07-31,Silver,A,0,56,tablet,Standard,1
297,646,45,F,south,High,Store,2025-01-26,Silver,R,2,60,DESKTOP,Standard,3
298,850,58,M,NORTH,Low,Partner,2025-05-04,Silver,A,2,74,Mobile,Family,1
299,846,49,M,Eastern,Low,Referral,2025-11-20,Silver,A,3,15,MOBILE,Standard,1
300,42,40,F,east,Mid,Web,2025-04-10,Gold,A,1,61,MOBILE,Budget,1
301,308,52,M,SOUTH,Low,Web,2025-05-05,Gold,A,4,86,phone,Standard,1
302,685,36,M,North,Mid,Web,2025-02-25,Silver,A,1,31,tablet,Standard,2
